longitude,latitude,fishing activity 2019_unreported_fishing,species richness 2019,stocks richness 2019,clusterid,risk
19.22,38.03,3.333333333333335,77.0,7.0,5.0,Very Low
19.72,38.03,19.083333333333346,107.0,12.0,5.0,Very Low
20.22,38.03,14.333333333333355,157.0,16.0,4.0,Moderate
20.72,38.03,597.2500000000003,307.0,40.0,2.0,High
21.22,38.03,1207.9999999999993,286.0,45.0,2.0,High
24.22,38.03,329.99999999999983,544.0,61.0,0.0,Very High
24.72,38.03,3.66666666666667,503.0,59.0,1.0,Very High
25.22,38.03,3.750000000000003,364.0,56.0,1.0,Very High
25.72,38.03,135.24999999999997,494.0,62.0,0.0,Very High
26.22,38.03,676.0000000000009,470.0,55.0,1.0,Very High
26.72,38.03,380.4166666666666,450.0,53.0,1.0,Very High
-1.28,37.53,1275.4166666666688,0.0,0.0,6.0,Very Low
-0.78,37.53,1877.6666666666674,561.0,61.0,0.0,Very High
-0.28,37.53,1444.0833333333308,490.0,63.0,0.0,Very High
0.22,37.53,35.166666666666664,333.0,48.0,2.0,High
0.72,37.53,7.916666666666668,155.0,28.0,4.0,Moderate
1.22,37.53,0.0,125.0,26.0,4.0,Moderate
1.72,37.53,4.916666666666668,124.0,25.0,4.0,Moderate
2.22,37.53,0.8333333333333333,105.0,18.0,4.0,Moderate
2.72,37.53,0.0,98.0,16.0,5.0,Very Low
3.22,37.53,0.0,100.0,16.0,5.0,Very Low
3.72,37.53,0.0,101.0,16.0,5.0,Very Low
4.22,37.53,0.0,97.0,18.0,4.0,Moderate
4.72,37.53,0.0,91.0,15.0,5.0,Very Low
5.22,37.53,0.0,92.0,14.0,5.0,Very Low
5.72,37.53,0.0,106.0,16.0,5.0,Very Low
